Interval,% Processor Time,Disk Reads/sec,Disk Writes/sec,Log Bytes Flushed/sec
10/28/2017 2:38:30 PM,100,7.561836,0,0
10/28/2017 2:38:31 PM,100,9.421947,1.884188,0
10/28/2017 2:38:32 PM,100,11.8168,1.817188,0
10/28/2017 2:38:33 PM,100,14.32411,2.866514,0
10/28/2017 2:38:34 PM,100,13.22836,2.834371,0
10/28/2017 2:38:35 PM,100,29.68531,6.78606,0
10/28/2017 2:38:37 PM,100,10.24664,5.587398,953.564
10/28/2017 2:38:38 PM,100,20.18229,4.807157,0
10/28/2017 2:38:39 PM,100,25.5628,1.966305,0
10/28/2017 2:38:40 PM,100,11.89803,1.830613,0
10/28/2017 2:38:41 PM,100,36.24554,0,0
10/28/2017 2:38:42 PM,88.80766,17.18147,47.72871,0
10/28/2017 2:38:43 PM,70.69267,12.82769,4.932484,0
10/28/2017 2:38:44 PM,76.14507,1.908255,2.862665,0
10/28/2017 2:38:45 PM,100,14.53415,0,0
10/28/2017 2:38:46 PM,100,9.146042,6.4021,0
10/28/2017 2:38:47 PM,100,0.9368258,14.99114,0
10/28/2017 2:38:48 PM,48.59134,0,18.80151,0
10/28/2017 2:38:49 PM,0.5710997,0,0,0
10/28/2017 2:38:50 PM,0.8598272,0,1.969312,0
10/28/2017 2:38:51 PM,0.8822628,0,2.949594,0
10/28/2017 2:38:52 PM,5.605094,0,2.969969,0
10/28/2017 2:38:53 PM,9.99922,0,2.9561,0
10/28/2017 2:38:54 PM,1.215357,0,1.974991,0
10/28/2017 2:38:55 PM,0.972653,0,1.964718,0
10/28/2017 2:38:56 PM,19.4726,2.974296,9.914793,0
10/28/2017 2:38:57 PM,0,0,0,0
10/28/2017 2:38:58 PM,3.610898,0,31.84687,0
10/28/2017 2:38:59 PM,17.75794,0,5.720151,0
10/28/2017 2:39:00 PM,85.21759,13.61827,101.1979,0
10/28/2017 2:39:01 PM,100,33.96698,59.84478,0
10/28/2017 2:39:03 PM,100,0,37.36842,0
10/28/2017 2:39:04 PM,100,0,2.591194,0
10/28/2017 2:39:05 PM,100,1.476637,1.456069,0
10/28/2017 2:39:06 PM,100,27.63609,5.441392,0
10/28/2017 2:39:07 PM,100,17.91772,2.806701,0
10/28/2017 2:39:08 PM,100,2.710449,3.641946,0
10/28/2017 2:39:10 PM,100,0,0,0
10/28/2017 2:39:11 PM,100,25.27283,1.871703,0
10/28/2017 2:39:12 PM,100,14.15484,2.831334,0
10/28/2017 2:39:13 PM,100,7.607641,3.607305,0
10/28/2017 2:39:14 PM,100,1.796471,0,0
10/28/2017 2:39:15 PM,100,26.01943,45.5352,0
10/28/2017 2:39:16 PM,100,15.04147,1.880073,0
10/28/2017 2:39:17 PM,100,6.63771,8.534707,0
10/28/2017 2:39:18 PM,100,0,7.055227,0
10/28/2017 2:39:19 PM,100,4.505505,2.733788,0
10/28/2017 2:39:20 PM,100,32.69067,1.765863,0
10/28/2017 2:39:22 PM,100,46.39321,1.687403,0
10/28/2017 2:39:23 PM,100,9.39413,3.729247,0
10/28/2017 2:39:24 PM,100,1.793493,2.711158,0
10/28/2017 2:39:25 PM,100,7.078903,1.286994,0
10/28/2017 2:39:27 PM,100,32.69743,3.235732,0
10/28/2017 2:39:28 PM,100,37.92145,5.501118,0
10/28/2017 2:39:29 PM,100,9.193294,7.523511,0
10/28/2017 2:39:30 PM,100,7.42402,3.712247,0
10/28/2017 2:39:31 PM,100,19.33207,14.06028,0
10/28/2017 2:39:32 PM,100,20.89871,1.817021,0
10/28/2017 2:39:33 PM,100,4.754765,0,0
10/28/2017 2:39:34 PM,100,18.36208,5.85426,0
10/28/2017 2:39:35 PM,100,4.67149,1.868176,0
10/28/2017 2:39:36 PM,100,19.2328,1.831954,0
10/28/2017 2:39:37 PM,100,6.763851,0,0
10/28/2017 2:39:39 PM,100,17.14493,3.615999,0
10/28/2017 2:39:40 PM,100,8.769362,1.948854,0
10/28/2017 2:39:41 PM,100,15.63784,8.795615,0
10/28/2017 2:39:42 PM,100,6.821284,0,0
10/28/2017 2:39:43 PM,100,12.81595,3.210894,0
10/28/2017 2:39:44 PM,100,4.491134,4.491193,0
10/28/2017 2:39:45 PM,100,4.0728,3.258215,0
10/28/2017 2:39:46 PM,100,4.289019,1.715634,0
10/28/2017 2:39:48 PM,100,10.55539,25.6358,0
10/28/2017 2:39:49 PM,100,159.5675,19.94393,0
10/28/2017 2:39:50 PM,100,140.4151,9.249925,0
10/28/2017 2:39:51 PM,90.26169,65.0123,14.24639,0
10/28/2017 2:39:52 PM,96.9332,45.12797,5.88638,0
